City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Strelka,RU,2021-03-27 18:29:20,58.0728,93.0344,28.4,96,100,5.1
68,Ushuaia,AR,2021-03-27 18:23:23,-54.8,-68.3,57.2,67,75,20.71
69,Kiama,AU,2021-03-27 18:29:20,-34.6833,150.8667,62.01,87,33,1.99
70,Nome,US,2021-03-27 18:25:41,64.5011,-165.4064,-5.01,84,1,4.83
71,Sistranda,NO,2021-03-27 18:29:21,63.7256,8.834,41.0,81,75,10.36
72,Boddam,GB,2021-03-27 18:29:21,57.4667,-1.7833,44.6,61,100,13.8
73,Kirksville,US,2021-03-27 18:29:22,40.1948,-92.5833,64.4,55,20,13.8
74,Dikson,RU,2021-03-27 18:25:53,73.5069,80.5464,-19.07,100,75,8.01
75,Vaini,TO,2021-03-27 18:25:43,-21.2,-175.2,78.8,94,20,8.05
76,Asau,RO,2021-03-27 18:26:52,46.4333,26.4,43.0,45,8,4.97
77,San Luis,AR,2021-03-27 18:29:18,-33.295,-66.3356,65.7,33,1,10.29
78,Usogorsk,RU,2021-03-27 18:29:22,63.4106,48.6872,19.44,96,21,2.73
79,Yasothon,TH,2021-03-27 18:29:23,15.75,104.1333,88.0,58,84,4.09
80,Pathein,MM,2021-03-27 18:29:23,16.7833,94.7333,76.71,81,19,6.22
81,Rio Gallegos,AR,2021-03-27 18:23:39,-51.6226,-69.2181,64.4,45,75,17.27
82,West Bay,KY,2021-03-27 18:29:24,19.3667,-81.4167,87.8,55,20,12.66
83,Kathu,TH,2021-03-27 18:29:24,7.9178,98.3332,82.4,83,75,3.44
84,Torbay,CA,2021-03-27 18:26:11,47.6666,-52.7314,30.0,100,90,27.63
85,Longyearbyen,SJ,2021-03-27 18:22:37,78.2186,15.6401,24.8,80,75,32.21
86,Kollam,IN,2021-03-27 18:29:25,8.8833,76.6,86.0,70,40,3.44
87,Ormara,PK,2021-03-27 18:24:51,25.2088,64.6357,78.06,81,14,13.49
88,Pithapuram,IN,2021-03-27 18:29:25,17.1167,82.2667,78.39,74,21,1.52
89,Champerico,GT,2021-03-27 18:29:26,14.3,-91.9167,93.2,100,40,6.91
90,Port Macquarie,AU,2021-03-27 18:26:06,-31.4333,152.9167,60.8,94,4,6.91
91,Bhuj,IN,2021-03-27 18:29:26,23.2667,69.6667,81.59,30,3,9.28
92,Ringebu,NO,2021-03-27 18:29:26,61.5167,10.1667,31.19,93,100,0.94
93,Port Hardy,CA,2021-03-27 18:23:05,50.6996,-127.4199,46.4,87,90,8.05
94,Yumen,CN,2021-03-27 18:29:27,40.2833,97.2,47.26,42,100,6.58
95,Marsh Harbour,BS,2021-03-27 18:29:27,26.5412,-77.0636,77.36,70,8,16.15
96,Concordia,AR,2021-03-27 18:29:28,-31.393,-58.0209,70.0,73,75,9.22
97,Yar-Sale,RU,2021-03-27 18:29:28,66.8333,70.8333,-6.02,99,12,8.28
98,Provideniya,RU,2021-03-27 18:25:47,64.3833,-173.3,-4.49,100,100,4.34
99,Georgetown,MY,2021-03-27 18:22:17,5.4112,100.3354,82.4,89,20,5.66
100,Nanortalik,GL,2021-03-27 18:29:29,60.1432,-45.2371,10.42,69,17,21.23
101,Kpandae,GH,2021-03-27 18:29:29,8.4689,-0.0113,85.46,56,44,7.45
102,Flinders,AU,2021-03-27 18:26:10,-34.5833,150.8552,62.01,82,24,1.01
103,Kununurra,AU,2021-03-27 18:24:54,-15.7667,128.7333,77.0,100,89,2.75
104,La Ronge,CA,2021-03-27 18:29:30,55.1001,-105.2842,23.0,58,89,4.61
