City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Upernavik,GL,72.7868,-56.1549,-24.74,78,23,4.83,few clouds
81,Barcelona,ES,41.3888,2.159,55.0,76,0,6.91,clear sky
82,Atar,MR,20.5169,-13.0499,76.03,26,72,7.52,broken clouds
83,Alyangula,AU,-13.8483,136.4192,85.53,67,73,17.34,broken clouds
84,Mombasa,KE,-4.0547,39.6636,77.41,82,74,5.79,broken clouds
85,Rikitea,PF,-23.1203,-134.9692,79.3,74,2,15.55,clear sky
86,Ambulu,ID,-8.345,113.6058,77.63,86,99,1.7,overcast clouds
87,Bilibino,RU,68.0546,166.4372,-5.53,85,67,2.66,broken clouds
88,Slyudyanka,RU,51.6594,103.7061,25.83,87,100,2.73,overcast clouds
89,Hamilton,US,39.1834,-84.5333,45.0,53,90,16.11,overcast clouds
90,Arlit,NE,18.7369,7.3853,68.23,14,0,7.87,clear sky
91,Touros,BR,-5.1989,-35.4608,80.6,83,20,4.61,few clouds
92,Erzin,TR,36.9559,36.2,50.0,63,0,8.99,clear sky
93,Nouadhibou,MR,20.931,-17.0347,64.4,88,0,14.97,clear sky
94,Evensk,RU,61.95,159.2333,1.15,88,85,1.9,overcast clouds
95,Kenai,US,60.5544,-151.2583,33.8,64,90,5.75,overcast clouds
96,Mubi,NG,10.2676,13.2644,75.04,23,7,5.48,clear sky
97,New Norfolk,AU,-42.7826,147.0587,57.99,58,73,1.01,broken clouds
98,Bambous Virieux,MU,-20.3428,57.7575,75.99,88,20,5.75,few clouds
99,Dingle,PH,10.9995,122.6711,81.3,78,100,8.57,overcast clouds
100,Nikolskoye,RU,59.7035,30.7861,39.2,87,0,2.24,light rain
101,Mahibadhoo,MV,3.7833,72.9667,81.25,78,98,10.22,overcast clouds
102,Vallenar,CL,-28.5708,-70.7581,66.63,60,0,3.31,clear sky
103,Kavaratti,IN,10.5669,72.642,82.98,71,100,1.5,overcast clouds
104,Rocha,UY,-34.4833,-54.3333,61.72,95,77,3.85,broken clouds
105,Kjellerup,DK,56.2858,9.4353,46.4,93,90,17.27,overcast clouds
106,Saint Anthony,US,45.0205,-93.218,44.6,39,1,6.91,clear sky
107,Cabo San Lucas,MX,22.8909,-109.9124,77.0,29,40,17.27,scattered clouds
108,Aranos,NA,-24.1333,19.1167,71.89,35,8,12.5,clear sky
109,Kahului,US,20.8947,-156.47,77.0,61,40,18.41,scattered clouds
110,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,71.64,63,65,8.5,broken clouds
111,Prince Rupert,CA,54.3161,-130.3201,41.0,60,40,13.8,scattered clouds
112,Chokurdakh,RU,70.6333,147.9167,-2.9,96,98,5.21,overcast clouds
113,Thunder Bay,CA,48.4001,-89.3168,32.0,47,40,13.8,scattered clouds
